# 客户原始测量数据 - 三孔探针验证
# 校准文件: 0.8.prb (Ma≈0.8)
# 压力单位: Pa (表压)
# 温度单位: K
#
# 列说明:
#   P1    - 探针孔1 (Pa, 表压)
#   P2    - 探针孔2 (Pa, 表压)
#   P3    - 探针孔3 (Pa, 表压)
#   Patm  - 大气压 (Pa, 绝压)
#   Tatm  - 大气温度 (K)
#   PressureMode - 压力模式 (gauge=表压, absolute=绝压)
#
P1	P2	P3	Patm	Tatm	PressureMode
49544.2	34010.8	7804.1	101425	293.98	gauge
49883	37295.7	9399	101425	293.98	gauge
49075.7	41869.9	16029.7	101425	293.98	gauge
47193	45376.7	22801.7	101425	293.98	gauge
44785	47882.3	27803.8	101425	293.98	gauge
41441.8	49350.9	32263.6	101425	293.98	gauge
37227.7	49908.4	36503.7	101425	293.98	gauge
32789	49680.6	40447.8	101425	293.98	gauge
27987.7	48849.9	43880.2	101425	293.98	gauge
23187	47048.2	46417.7	101425	293.98	gauge
18133.8	44248.6	48234.2	101425	293.98	gauge
12213.1	40701.6	49472.4	101425	293.98	gauge
3900.7	35640.6	49907.8	101425	293.98	gauge
