点位编号,滚转角φ,俯仰角θ,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,大气压力,大气温度,采样次数,Kθ[3],Kφ[3],K0[3],Ks[3],马赫数,速度,标准差,U(Kθ[3]),U(Kφ[3]),U(K0[3]),U(Ks[3]),边界标记
188,90.000,30.000,221.224,-0.596,-15.934,-87.192,-73.027,-39.525,173.835,183.589,134.300,99235.262,29.2,10,21.4419,4.9297,-1.3265,0.2829,0.0565,19.685,0.6158,,,,,
189,95.000,30.000,221.045,-0.145,-32.151,-79.680,-73.870,-19.563,186.303,170.993,134.180,99236.077,29.2,10,8.5800,2.4792,-1.3333,0.2237,0.0564,19.657,0.5979,,,,,
190,100.000,30.000,220.323,0.058,-46.761,-75.758,-76.784,-1.407,193.967,155.920,132.542,99236.754,29.2,10,5.4795,1.9463,-1.3489,0.1754,0.0563,19.616,1.3960,,,,,
191,105.000,30.000,219.577,-0.138,-60.088,-73.857,-79.857,19.808,199.700,137.067,131.159,99236.398,29.2,10,3.9941,1.7729,-1.3628,0.1224,0.0562,19.592,1.5858,,,,,
192,110.000,30.000,220.146,-0.238,-68.035,-72.136,-80.751,41.118,204.215,120.393,131.558,99233.914,29.2,10,3.2542,1.7359,-1.3653,0.0693,0.0563,19.622,1.3406,,,,,
193,115.000,30.000,220.006,-0.322,-76.786,-73.661,-83.696,62.533,205.512,97.536,129.374,99237.195,29.2,10,2.7270,1.7431,-1.3784,0.0238,0.0563,19.619,1.0287,,,,,
194,120.000,30.000,220.784,-0.279,-80.103,-73.073,-82.891,81.555,206.667,80.929,129.745,99237.545,29.2,10,2.4404,1.7746,-1.3737,-0.0204,0.0564,19.652,0.4223,,,,,
195,125.000,30.000,221.403,-0.329,-81.345,-71.885,-79.024,103.789,209.037,61.530,130.909,99238.680,29.2,10,2.2104,1.8497,-1.3549,-0.0734,0.0565,19.682,0.8687,,,,,
196,130.000,30.000,222.003,-0.353,-83.002,-72.098,-76.512,121.146,207.014,41.695,130.004,99239.711,29.2,10,2.0440,1.9126,-1.3425,-0.1119,0.0566,19.709,0.7666,,,,,
197,135.000,30.000,221.502,-0.266,-81.498,-70.612,-69.102,138.457,205.126,23.727,130.890,99237.906,29.3,10,1.9412,2.0293,-1.3104,-0.1542,0.0565,19.684,0.6226,,,,,
198,140.000,30.000,219.588,-0.205,-81.384,-70.297,-61.629,152.360,199.978,5.149,130.078,99239.086,29.3,10,1.8674,2.1689,-1.2795,-0.1876,0.0562,19.596,1.0598,,,,,
199,145.000,30.000,221.040,-0.280,-77.655,-67.462,-48.643,167.794,196.547,-9.274,132.800,99239.552,29.3,10,1.8363,2.3809,-1.2185,-0.2279,0.0564,19.664,1.0625,,,,,
260,90.000,35.000,220.112,-0.179,-54.981,-121.129,-103.756,-80.683,177.212,187.351,96.761,99230.281,29.6,10,70.3635,14.1928,-1.4702,0.4572,0.0563,19.630,0.7922,,,,,
261,95.000,35.000,221.161,-0.088,-72.924,-111.114,-106.954,-56.987,192.417,172.856,96.942,99231.758,29.6,10,8.9024,2.3633,-1.4830,0.3795,0.0564,19.672,1.4470,,,,,
262,100.000,35.000,219.368,-0.173,-91.766,-105.763,-113.730,-34.305,200.926,151.432,92.985,99229.566,29.6,10,4.7308,1.6354,-1.5172,0.3182,0.0562,19.597,0.3901,,,,,
263,105.000,35.000,219.742,-0.175,-106.359,-101.603,-119.243,-8.704,208.097,129.574,91.001,99230.043,29.6,10,3.2805,1.4495,-1.5414,0.2500,0.0562,19.614,0.3418,,,,,
264,110.000,35.000,223.254,-0.115,-115.812,-97.744,-122.198,19.852,214.831,106.981,91.588,99228.680,29.6,10,2.5679,1.4125,-1.5466,0.1738,0.0567,19.767,0.6923,,,,,
265,115.000,35.000,221.749,0.089,-123.368,-98.127,-125.762,44.290,214.927,80.920,89.775,99228.033,29.6,10,2.1806,1.4408,-1.5678,0.1218,0.0565,19.691,1.4403,,,,,
266,120.000,35.000,220.745,-0.044,-128.805,-99.899,-128.867,68.908,214.456,54.042,87.733,99228.531,29.6,10,1.9105,1.4890,-1.5835,0.0700,0.0564,19.653,1.0734,,,,,
267,125.000,35.000,222.585,-0.115,-127.964,-97.183,-125.969,95.977,216.805,30.280,88.038,99228.979,29.6,10,1.7071,1.5408,-1.5651,0.0022,0.0566,19.738,0.8506,,,,,
268,130.000,35.000,215.788,-0.107,-132.857,-102.273,-129.418,110.750,209.322,3.957,82.397,99234.590,29.6,10,1.5848,1.5938,-1.5990,-0.0201,0.0557,19.434,0.6321,,,,,
269,135.000,35.000,220.887,-0.154,-125.987,-95.804,-115.370,138.002,212.408,-15.969,87.681,99229.758,29.6,10,1.4879,1.7132,-1.5212,-0.0961,0.0564,19.664,0.9219,,,,,
270,140.000,35.000,221.046,-0.068,-123.942,-95.781,-106.748,154.384,207.564,-34.503,88.541,99228.637,29.6,10,1.4354,1.8388,-1.4825,-0.1328,0.0564,19.668,1.1771,,,,,
271,145.000,35.000,220.153,0.378,-118.935,-94.956,-93.518,170.041,201.031,-51.756,90.473,99229.122,29.6,10,1.4039,2.0220,-1.4272,-0.1691,0.0562,19.608,1.1005,,,,,
332,90.000,40.000,219.220,-0.000,-94.874,-154.168,-132.533,-128.228,174.885,189.555,51.876,99229.367,29.9,10,-21.2807,-2.9934,-1.6046,0.6441,0.0562,19.592,1.0682,,,,,
333,95.000,40.000,220.992,0.106,-118.661,-142.144,-138.487,-99.388,194.294,169.813,50.325,99227.514,29.9,10,10.6550,2.4128,-1.6274,0.5472,0.0564,19.667,0.4935,,,,,
334,100.000,40.000,220.048,-0.185,-138.993,-132.998,-147.361,-69.570,206.081,144.387,46.585,99232.930,29.9,10,4.2091,1.3765,-1.6683,0.4591,0.0563,19.637,1.4570,,,,,
335,105.000,40.000,220.370,0.072,-153.472,-124.889,-153.315,-36.759,213.650,115.715,44.473,99230.758,29.9,10,2.7285,1.2157,-1.6963,0.3672,0.0563,19.640,0.5580,,,,,
336,110.000,40.000,219.924,0.161,-164.905,-120.306,-159.309,-3.359,217.137,82.020,40.328,99231.594,29.9,10,2.0481,1.1997,-1.7257,0.2821,0.0562,19.617,0.6049,,,,,
337,115.000,40.000,222.402,-0.086,-172.817,-120.109,-165.027,28.392,219.125,48.737,36.719,99229.906,29.9,10,1.6929,1.2461,-1.7414,0.2057,0.0566,19.738,1.0896,,,,,
338,120.000,40.000,221.025,0.160,-172.552,-119.373,-167.713,57.667,218.628,18.953,36.389,99227.789,29.9,10,1.4913,1.2936,-1.7601,0.1404,0.0564,19.666,0.4053,,,,,
