点位编号,侧滑角α,迎角β,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,大气压力,大气温度,采样次数,Kα,Kβ,K0,Ks,马赫数,速度,标准差,U(Kα),U(Kβ),U(K0),U(Ks),边界标记
1,-30.000,-30.000,226.958,-0.815,-153.051,-110.275,-113.898,138.077,215.552,-50.525,53.169,99233.142,27.8,10,3.4294,-4.2973,-0.7630,0.0507,0.0572,19.902,0.6278,,,,,
2,-25.000,-30.000,228.007,-0.878,-134.633,-102.329,-111.665,164.023,214.020,-51.824,77.496,99234.253,27.9,10,2.6738,-3.5037,-0.6576,0.0125,0.0574,19.951,0.6765,,,,,
3,-20.000,-30.000,225.480,-0.810,-110.591,-91.235,-78.703,181.128,200.321,-53.363,101.553,99234.531,27.9,10,1.9541,-3.0250,-0.5476,-0.0386,0.0571,19.838,1.2685,,,,,
4,-15.000,-30.000,224.347,-0.749,-87.841,-80.671,-38.219,194.268,183.701,-55.803,120.970,99235.109,27.9,10,1.4006,-2.7726,-0.4593,-0.0888,0.0569,19.786,0.8645,,,,,
5,-10.000,-30.000,224.670,-0.828,-66.351,-67.745,3.906,202.702,165.992,-51.991,138.717,99237.391,27.9,10,0.9540,-2.5635,-0.3812,-0.1415,0.0570,19.803,1.3099,,,,,
6,-5.000,-30.000,223.507,-0.870,-59.525,-64.414,39.420,205.196,139.710,-60.111,147.810,99233.055,27.9,10,0.5277,-2.4268,-0.3374,-0.1526,0.0568,19.755,0.5121,,,,,
7,0.000,-30.000,223.930,-0.836,-58.749,-60.634,73.753,206.232,109.846,-67.758,154.617,99234.078,27.9,10,0.1384,-2.3226,-0.3084,-0.1540,0.0569,19.772,0.6301,,,,,
8,5.000,-30.000,224.045,-0.792,-62.329,-56.509,105.011,206.270,76.313,-75.255,156.484,99235.743,27.9,10,-0.2205,-2.2814,-0.3005,-0.1470,0.0569,19.775,1.0829,,,,,
9,10.000,-30.000,223.204,-0.865,-66.874,-48.216,134.129,205.086,39.520,-82.348,153.615,99235.762,27.9,10,-0.6023,-2.2910,-0.3106,-0.1387,0.0568,19.741,0.3394,,,,,
10,15.000,-30.000,224.680,-0.903,-75.757,-36.726,161.133,201.141,2.167,-88.205,149.072,99236.164,27.9,10,-0.9977,-2.3048,-0.3352,-0.1250,0.0570,19.808,1.2589,,,,,
11,20.000,-30.000,223.694,-0.826,-100.291,-36.547,180.926,191.246,-42.864,-105.748,136.525,99237.627,27.9,10,-1.3857,-2.3577,-0.3882,-0.0681,0.0568,19.761,1.2012,,,,,
12,25.000,-30.000,226.458,-0.783,-124.373,-32.608,200.218,178.534,-87.931,-119.311,122.141,99237.992,27.9,10,-1.8077,-2.4224,-0.4591,-0.0141,0.0572,19.881,1.2493,,,,,
13,30.000,-30.000,223.364,-0.635,-151.481,-30.507,209.305,154.023,-137.612,-136.533,98.525,99236.252,27.9,10,-2.2941,-2.4848,-0.5573,0.0662,0.0568,19.739,0.4893,,,,,
14,-30.000,-25.000,222.647,-0.623,-140.990,-104.002,-93.463,112.012,211.186,0.849,75.806,99235.617,27.9,10,3.0230,-3.0981,-0.6577,0.0080,0.0567,19.707,0.9993,,,,,
15,-25.000,-25.000,223.432,-0.593,-113.004,-88.448,-97.548,138.459,212.480,-0.103,104.366,99238.211,27.9,10,2.4027,-2.4598,-0.5315,-0.0412,0.0568,19.741,0.5037,,,,,
16,-20.000,-25.000,224.369,-0.818,-83.602,-70.628,-63.784,161.306,203.886,-1.205,130.650,99238.234,28.0,10,1.8305,-2.2001,-0.4162,-0.1117,0.0569,19.792,0.4095,,,,,
17,-15.000,-25.000,223.430,-0.764,-59.756,-56.360,-24.856,177.452,189.610,-6.414,149.628,99236.598,28.0,10,1.3508,-2.0704,-0.3292,-0.1667,0.0568,19.749,1.0499,,,,,
18,-10.000,-25.000,223.721,-0.883,-39.818,-40.670,15.075,186.852,170.257,-8.846,165.366,99236.134,28.0,10,0.9132,-1.9403,-0.2598,-0.2138,0.0568,19.767,0.6449,,,,,
19,-5.000,-25.000,223.847,-0.793,-32.254,-30.458,52.379,192.292,147.463,-16.109,175.251,99237.731,28.0,10,0.5135,-1.8843,-0.2163,-0.2360,0.0568,19.769,0.7140,,,,,
20,0.000,-25.000,221.864,-0.818,-35.095,-26.010,82.075,190.719,117.046,-26.898,178.908,99239.621,28.0,10,0.1530,-1.8239,-0.1929,-0.2296,0.0566,19.683,1.0341,,,,,
21,5.000,-25.000,223.220,-0.835,-35.198,-15.854,115.141,192.803,86.578,-34.805,181.754,99238.231,28.0,10,-0.2105,-1.8120,-0.1851,-0.2333,0.0568,19.743,0.7322,,,,,
