侧滑角α,迎角β,马赫数Ma,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,α角度系数Kα,β角度系数Kβ,总压系数K0,静压系数Ks,大气压力,大气温度
210.000,30.000,0.242,4117.083,-33.300,-2154.267,-2185.533,-845.200,3191.750,3234.050,-676.417,2117.167,0.565,1.957,-0.213,-0.311,98886.000,28.000
215.000,30.000,0.242,4117.533,-24.517,-2204.833,-2214.817,-1124.867,2963.767,3425.067,-449.267,2090.383,0.616,1.574,-0.167,-0.309,98897.000,28.000
220.000,30.000,0.242,4119.967,-15.450,-2247.083,-2223.383,-1375.967,2709.617,3582.217,-231.067,2079.833,0.641,1.255,-0.130,-0.303,98904.000,28.000
225.000,30.000,0.242,4127.817,-0.950,-2261.383,-2218.167,-1593.300,2426.750,3716.250,85.233,2081.383,0.665,0.952,-0.100,-0.304,98915.000,28.000
230.000,30.000,0.242,4129.250,5.217,-2245.150,-2225.300,-1777.567,2116.167,3808.767,428.033,2092.700,0.677,0.665,-0.078,-0.307,98925.000,28.000
235.000,30.000,0.243,4135.667,8.717,-2205.050,-2253.767,-1928.517,1773.883,3865.983,792.000,2114.950,0.678,0.380,-0.065,-0.309,98926.000,28.000
240.000,30.000,0.243,4133.350,8.850,-2130.150,-2339.317,-2062.133,1407.750,3896.050,1169.600,2136.917,0.675,0.091,-0.058,-0.310,98922.000,28.000
245.000,30.000,0.243,4138.883,9.317,-1995.883,-2514.983,-2177.083,1026.867,3889.433,1551.300,2159.000,0.665,-0.202,-0.060,-0.310,98927.000,28.000
250.000,30.000,0.243,4138.683,8.633,-1816.000,-2687.500,-2277.967,630.867,3842.050,1931.667,2177.033,0.650,-0.508,-0.072,-0.308,98925.000,28.000
255.000,30.000,0.243,4136.883,8.750,-1581.383,-2728.567,-2351.750,238.600,3752.767,2299.500,2197.433,0.626,-0.830,-0.093,-0.305,98930.000,28.000
260.000,30.000,0.243,4134.117,6.517,-1268.217,-2702.317,-2401.550,-158.600,3613.100,2645.667,2218.750,0.588,-1.183,-0.126,-0.300,98925.000,28.000
265.000,30.000,0.243,4138.000,6.117,-919.867,-2627.717,-2431.483,-558.350,3422.050,2962.500,2232.050,0.536,-1.586,-0.173,-0.289,98920.000,28.000
270.000,30.000,0.243,4137.750,6.383,-592.883,-2580.533,-2480.817,-948.483,3175.350,3234.183,2233.817,0.463,-2.058,-0.233,-0.275,98922.000,28.000
210.000,35.000,0.241,4063.800,-8.100,-2495.850,-2154.667,-1277.050,3325.583,3287.983,-1156.283,1300.100,0.902,2.034,-0.191,-0.268,98911.000,28.000
215.000,35.000,0.241,4071.767,2.917,-2602.333,-2263.833,-1589.383,3084.800,3504.850,-1016.083,1252.250,0.912,1.660,-0.139,-0.253,98918.000,28.000
220.000,35.000,0.241,4068.200,5.650,-2708.017,-2346.267,-1876.283,2800.800,3681.717,-725.517,1224.483,0.929,1.334,-0.095,-0.254,98922.000,28.000
225.000,35.000,0.241,4073.833,8.467,-2771.383,-2400.617,-2123.767,2481.550,3822.400,-390.983,1220.417,0.937,1.034,-0.062,-0.255,98925.000,28.000
230.000,35.000,0.241,4077.267,8.267,-2775.850,-2430.617,-2336.600,2125.083,3924.950,-13.150,1232.033,0.939,0.745,-0.037,-0.257,98926.000,28.000
235.000,35.000,0.241,4074.917,9.600,-2727.167,-2447.300,-2514.433,1734.617,3988.917,395.850,1251.700,0.936,0.458,-0.021,-0.260,98923.833,28.000
240.000,35.000,0.241,4077.600,9.967,-2622.833,-2441.933,-2646.083,1312.617,4019.750,837.150,1288.550,0.927,0.161,-0.014,-0.262,98927.000,28.000
245.000,35.000,0.241,4081.817,9.283,-2480.750,-2434.450,-2726.933,871.650,4023.100,1295.317,1336.283,0.914,-0.144,-0.014,-0.264,98923.000,28.000
250.000,35.000,0.241,4078.417,7.717,-2329.017,-2488.317,-2774.767,420.067,3994.433,1746.333,1375.683,0.900,-0.456,-0.021,-0.264,98926.667,28.000
255.000,35.000,0.241,4072.533,4.200,-2078.283,-2597.000,-2814.700,-42.133,3915.000,2195.167,1415.700,0.881,-0.788,-0.039,-0.264,98925.000,28.000
260.000,35.000,0.241,4072.917,0.617,-1765.200,-2825.333,-2841.433,-510.283,3772.333,2617.767,1438.017,0.859,-1.151,-0.074,-0.259,98917.000,28.000
265.000,35.000,0.241,4082.217,0.950,-1387.133,-2920.900,-2817.667,-964.367,3559.300,3004.783,1460.150,0.827,-1.563,-0.128,-0.250,98918.833,28.000
270.000,35.000,0.241,4079.567,-1.850,-1005.567,-2925.100,-2845.883,-1427.850,3263.717,3339.633,1461.000,0.781,-2.066,-0.200,-0.235,98911.000,28.000
210.000,40.000,0.243,4157.100,9.800,-2680.717,-2577.483,-1862.983,3443.233,3301.283,-1900.367,385.550,1.153,2.112,-0.206,-0.184,98904.333,28.000
215.000,40.000,0.243,4155.633,8.433,-2842.967,-2721.983,-2202.483,3170.133,3536.117,-1678.233,316.550,1.154,1.738,-0.149,-0.178,98904.000,28.000
220.000,40.000,0.243,4157.383,9.283,-3172.017,-2791.283,-2505.767,2854.233,3742.117,-1375.467,267.983,1.157,1.409,-0.100,-0.176,98910.000,28.000
225.000,40.000,0.243,4162.033,10.083,-3327.550,-2844.050,-2777.200,2497.483,3912.833,-1019.117,245.767,1.155,1.108,-0.060,-0.176,98904.000,28.000
230.000,40.000,0.243,4160.133,10.167,-3396.017,-2883.167,-3002.767,2102.483,4040.483,-614.483,255.233,1.148,0.824,-0.029,-0.177,98907.333,28.000
235.000,40.000,0.243,4156.650,10.667,-3387.050,-2890.050,-3180.767,1668.133,4117.050,-152.450,298.467,1.137,0.542,-0.010,-0.180,98904.000,28.000
240.000,40.000,0.243,4153.800,8.667,-3313.000,-2899.733,-3326.183,1198.550,4150.300,347.317,356.867,1.123,0.252,-0.001,-0.184,98903.000,28.000
245.000,40.000,0.243,4154.333,3.900,-3160.400,-2896.483,-3406.133,683.683,4151.767,890.567,427.950,1.107,-0.061,-0.001,-0.189,98894.000,28.000
250.000,40.000,0.243,4145.650,-10.183,-2957.383,-2908.467,-3428.633,153.417,4139.100,1442.450,494.500,1.091,-0.386,-0.002,-0.194,98883.500,28.000
255.000,40.000,0.243,4144.900,-16.033,-2734.800,-2961.900,-3373.683,-392.433,4083.400,1995.483,553.450,1.076,-0.728,-0.015,-0.196,98877.000,28.000
260.000,40.000,0.243,4140.700,-15.283,-2383.133,-2992.717,-3326.500,-934.867,3938.667,2521.300,612.183,1.058,-1.099,-0.049,-0.195,98881.000,28.000
265.000,40.000,0.243,4135.650,-18.567,-1944.000,-3060.533,-3199.967,-1476.250,3693.517,3016.333,643.317,1.043,-1.537,-0.106,-0.190,98872.000,28.000
270.000,40.000,0.243,4139.667,-21.933,-1506.467,-3236.383,-3131.567,-2020.550,3333.067,3437.367,637.800,1.027,-2.079,-0.194,-0.175,98876.167,28.000
210.000,45.000,0.242,4102.717,8.517,-2819.050,-2888.017,-2397.100,3308.933,3032.717,-2529.900,-615.150,1.380,2.209,-0.261,-0.093,98916.000,28.000
215.000,45.000,0.242,4103.000,7.717,-3057.383,-3090.883,-2766.367,3016.533,3276.833,-2377.000,-732.683,1.356,1.824,-0.202,-0.076,98917.000,28.000
220.000,45.000,0.242,4104.950,7.400,-3331.000,-3208.267,-3089.067,2679.683,3494.867,-2123.000,-816.167,1.340,1.493,-0.149,-0.066,98913.000,28.000
225.000,45.000,0.242,4103.483,5.483,-3586.733,-3243.883,-3346.867,2317.383,3689.150,-1780.883,-837.783,1.323,1.198,-0.101,-0.064,98913.000,28.000
230.000,45.000,0.241,4094.667,-4.167,-3775.133,-3268.367,-3565.633,1905.867,3850.517,-1378.967,-827.600,1.304,0.916,-0.060,-0.065,98897.333,28.000
235.000,45.000,0.241,4087.183,-19.517,-3875.017,-3294.283,-3754.000,1451.583,3970.350,-913.117,-800.267,1.289,0.639,-0.028,-0.070,98884.000,28.000
240.000,45.000,0.241,4086.417,-27.967,-3913.333,-3335.283,-3921.017,947.150,4048.133,-383.650,-737.083,1.271,0.353,-0.009,-0.075,98884.000,28.000
245.000,45.000,0.241,4082.883,-26.267,-3824.967,-3346.667,-3999.200,397.850,4074.167,223.800,-640.717,1.253,0.046,-0.002,-0.082,98882.000,28.000
250.000,45.000,0.241,4078.467,-28.917,-3616.300,-3349.250,-3964.450,-173.067,4068.300,882.717,-530.033,1.238,-0.284,-0.002,-0.093,98879.000,28.000
255.000,45.000,0.241,4074.783,-29.283,-3330.100,-3377.817,-3853.983,-777.017,4022.450,1559.250,-424.767,1.225,-0.643,-0.013,-0.102,98880.000,28.000
260.000,45.000,0.241,4071.283,-32.667,-2979.800,-3453.567,-3616.367,-1367.083,3877.450,2195.333,-337.117,1.217,-1.029,-0.047,-0.109,98874.000,28.000
