侧滑角α,迎角β,马赫数Ma,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,α角度系数Kα,β角度系数Kβ,总压系数K0,静压系数Ks,大气压力,大气温度
-30.000,-30.000,0.242,4123.367,-36.017,-3095.950,-1290.333,3809.100,2715.400,-2133.933,-2859.450,393.717,-4.988,-6.688,-0.897,0.106,98869.000,28.000
-25.000,-30.000,0.242,4123.933,-37.600,-2676.483,-1381.300,3582.417,3099.267,-1508.467,-2618.567,937.717,-3.075,-4.944,-0.766,0.051,98871.000,28.000
-20.000,-30.000,0.242,4126.650,-30.750,-2366.117,-1441.550,3251.867,3402.083,-841.617,-2365.550,1415.850,-1.963,-4.009,-0.652,0.007,98876.000,28.000
-15.000,-30.000,0.242,4126.500,-33.617,-2125.367,-1569.833,2822.667,3615.417,-179.433,-2093.233,1795.867,-1.185,-3.452,-0.560,-0.027,98875.000,28.000
-10.000,-30.000,0.242,4123.467,-40.300,-1914.783,-1664.117,2323.467,3748.983,468.900,-1777.250,2066.950,-0.608,-3.131,-0.494,-0.057,98874.000,28.000
-5.000,-30.000,0.242,4129.517,-32.983,-1849.467,-1815.250,1770.783,3819.967,1016.150,-1637.783,2218.233,-0.167,-2.929,-0.459,-0.060,98870.333,28.000
0.000,-30.000,0.242,4129.417,-34.417,-1902.550,-1918.583,1186.600,3838.283,1574.350,-1488.950,2265.483,0.230,-2.869,-0.448,-0.060,98877.000,28.000
5.000,-30.000,0.243,4131.133,-31.433,-1937.267,-1991.683,574.267,3795.117,2109.750,-1350.683,2221.850,0.621,-2.884,-0.459,-0.056,98878.000,28.000
10.000,-30.000,0.242,4124.517,-35.733,-2008.033,-1933.783,-42.117,3682.517,2617.000,-1144.000,2079.033,1.057,-3.014,-0.492,-0.056,98866.000,28.000
15.000,-30.000,0.242,4122.933,-29.417,-2240.367,-2008.200,-709.217,3501.367,3056.783,-1104.433,1817.383,1.554,-3.256,-0.555,-0.027,98879.000,28.000
20.000,-30.000,0.243,4132.733,-12.833,-2497.050,-2187.900,-1351.667,3253.017,3433.433,-1097.850,1458.217,2.213,-3.668,-0.645,0.015,98899.333,28.000
25.000,-30.000,0.243,4141.133,7.633,-2856.017,-2465.417,-2021.533,2914.533,3724.200,-973.867,992.967,3.283,-4.370,-0.762,0.070,98916.000,28.000
30.000,-30.000,0.243,4150.483,8.250,-3228.700,-2756.183,-2669.533,2486.767,3916.867,-894.783,443.000,5.042,-5.627,-0.895,0.129,98916.000,28.000
-30.000,-25.000,0.243,4135.817,-33.817,-3044.783,-450.717,3963.500,2332.783,-2113.067,-2679.900,928.633,-3.804,-4.161,-0.769,0.072,98880.000,28.000
-25.000,-25.000,0.242,4129.350,-34.883,-2645.650,-588.167,3735.233,2727.050,-1476.433,-2485.783,1512.467,-2.511,-3.278,-0.628,0.021,98874.000,28.000
-20.000,-25.000,0.243,4135.133,-32.333,-2261.533,-775.400,3396.517,3046.850,-819.883,-2256.133,2007.100,-1.685,-2.771,-0.511,-0.021,98868.000,28.000
-15.000,-25.000,0.242,4129.817,-35.133,-2083.833,-1014.800,2943.817,3270.933,-154.000,-1931.733,2385.350,-1.047,-2.476,-0.419,-0.050,98866.000,28.000
-10.000,-25.000,0.242,4129.717,-32.867,-1964.017,-1281.767,2409.183,3418.267,493.083,-1576.250,2657.650,-0.530,-2.288,-0.354,-0.068,98878.000,28.000
-5.000,-25.000,0.242,4125.933,-33.617,-1687.250,-1415.667,1825.017,3487.333,1099.783,-1169.133,2837.550,-0.111,-2.131,-0.310,-0.094,98876.000,28.000
0.000,-25.000,0.242,4130.333,-34.800,-1479.883,-1339.050,1269.617,3499.200,1646.750,-961.467,2908.867,0.176,-2.048,-0.293,-0.114,98880.000,28.000
5.000,-25.000,0.243,4131.467,-34.183,-1660.250,-1549.750,650.133,3445.133,2165.067,-942.500,2849.250,0.491,-2.071,-0.308,-0.093,98876.000,28.000
10.000,-25.000,0.243,4133.233,-32.217,-1851.650,-1829.267,-8.600,3323.517,2691.900,-780.550,2682.200,0.893,-2.151,-0.348,-0.070,98879.000,28.000
15.000,-25.000,0.243,4133.367,-31.517,-2005.533,-2082.500,-665.233,3117.733,3155.117,-571.783,2409.550,1.367,-2.279,-0.414,-0.045,98873.000,28.000
20.000,-25.000,0.243,4136.217,-17.683,-2262.283,-2197.200,-1317.067,2847.083,3551.967,-426.617,2034.883,1.915,-2.510,-0.506,-0.012,98897.000,28.000
