点位编号,滚转角φ,俯仰角θ,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,大气压力,大气温度,采样次数,Kθ[6],Kφ[6],K0[6],Ks[6],马赫数,速度,标准差,U(Kθ[6]),U(Kφ[6]),U(K0[6]),U(Ks[6]),边界标记
224,270.000,30.000,219.741,-0.305,-30.885,176.397,170.816,-36.741,-97.087,-109.466,161.880,99237.230,29.4,10,5.9663,1.4556,-1.4961,0.2894,0.0563,19.612,0.4546,,,,,
225,275.000,30.000,218.314,-0.123,-13.853,184.954,156.021,-56.155,-97.256,-115.762,158.966,99236.897,29.4,10,4.5630,1.3853,-1.5294,0.2538,0.0561,19.541,0.9865,,,,,
226,280.000,30.000,220.402,-0.212,5.355,192.838,141.103,-71.074,-96.022,-119.457,158.266,99236.844,29.4,10,3.7467,1.3677,-1.5405,0.2045,0.0563,19.638,0.6066,,,,,
227,285.000,30.000,221.086,-0.245,28.894,198.248,122.580,-84.344,-94.562,-121.104,156.012,99235.711,29.4,10,3.1394,1.3986,-1.5461,0.1472,0.0564,19.670,0.6049,,,,,
228,290.000,30.000,216.289,-0.273,45.208,197.508,97.455,-99.733,-101.416,-127.863,149.368,99238.492,29.4,10,2.7790,1.4698,-1.5892,0.1285,0.0558,19.457,0.9179,,,,,
229,295.000,30.000,219.276,-0.233,69.152,201.605,78.808,-104.874,-100.849,-124.923,149.145,99236.368,29.4,10,2.5127,1.5586,-1.5680,0.0711,0.0562,19.589,1.1576,,,,,
230,300.000,30.000,220.145,-0.109,91.330,203.051,59.061,-106.641,-98.546,-119.333,147.017,99236.165,29.4,10,2.3016,1.6408,-1.5413,0.0159,0.0563,19.623,1.5928,,,,,
231,305.000,30.000,219.832,-0.178,111.302,201.764,35.172,-110.103,-99.943,-114.305,142.297,99235.428,29.4,10,2.1386,1.7606,-1.5187,-0.0266,0.0563,19.612,1.8971,,,,,
232,310.000,30.000,221.687,-0.032,131.613,202.191,16.243,-108.094,-99.889,-105.065,139.681,99233.820,29.4,10,2.0239,1.9144,-1.4737,-0.0717,0.0565,19.688,1.3891,,,,,
233,315.000,30.000,219.775,-0.212,146.198,196.825,-4.875,-107.697,-103.745,-95.134,135.468,99233.805,29.5,10,1.9818,2.1480,-1.4315,-0.0975,0.0563,19.612,0.9563,,,,,
234,320.000,30.000,219.622,-0.202,159.180,191.952,-21.920,-105.892,-105.520,-83.346,133.579,99234.848,29.5,10,1.9689,2.4025,-1.3782,-0.1230,0.0562,19.604,1.2293,,,,,
235,325.000,30.000,220.900,0.023,174.022,186.113,-37.561,-102.805,-105.277,-66.501,132.495,99233.000,29.5,10,1.9727,2.7688,-1.3012,-0.1555,0.0564,19.651,0.5615,,,,,
296,270.000,35.000,221.285,-0.038,-74.325,182.783,177.422,-81.692,-139.400,-153.581,133.162,99225.734,29.7,10,6.1377,1.3929,-1.6938,0.4827,0.0564,19.681,0.5715,,,,,
297,275.000,35.000,220.518,-0.050,-53.914,193.989,160.277,-103.834,-137.655,-162.568,130.225,99225.211,29.8,10,4.3842,1.2539,-1.7368,0.4340,0.0563,19.648,0.2466,,,,,
298,280.000,35.000,217.968,-0.005,-31.668,199.733,135.293,-125.593,-136.624,-171.855,124.239,99226.047,29.8,10,3.3759,1.1966,-1.7884,0.3860,0.0560,19.532,1.0090,,,,,
299,285.000,35.000,219.967,0.072,-3.755,207.632,113.974,-138.826,-132.325,-174.578,123.687,99225.601,29.8,10,2.7996,1.2068,-1.7942,0.3097,0.0562,19.618,0.3588,,,,,
300,290.000,35.000,221.181,-0.062,25.335,210.668,86.512,-151.031,-133.715,-178.441,120.635,99224.946,29.8,10,2.4070,1.2801,-1.8063,0.2447,0.0564,19.678,1.1818,,,,,
301,295.000,35.000,220.454,-0.047,52.928,211.166,57.074,-157.800,-133.920,-179.013,115.157,99223.253,29.8,10,2.1237,1.3489,-1.8116,0.1834,0.0563,19.646,0.6002,,,,,
302,300.000,35.000,217.698,0.030,78.633,209.102,25.742,-161.255,-133.375,-176.197,107.687,99228.003,29.8,10,1.9075,1.4245,-1.8096,0.1259,0.0560,19.519,0.9467,,,,,
303,305.000,35.000,217.151,0.069,102.627,208.397,0.258,-158.547,-133.673,-168.013,103.016,99225.702,29.8,10,1.7774,1.5496,-1.7743,0.0718,0.0559,19.493,0.7121,,,,,
304,310.000,35.000,218.919,-0.077,125.226,207.349,-23.183,-154.370,-137.037,-158.106,100.482,99227.641,29.8,10,1.6990,1.7231,-1.7216,0.0266,0.0561,19.579,0.8131,,,,,
305,315.000,35.000,217.007,-0.092,143.494,202.112,-45.005,-149.962,-141.212,-145.877,97.071,99224.269,29.8,10,1.6525,1.9365,-1.6715,-0.0057,0.0559,19.494,0.7832,,,,,
306,320.000,35.000,219.718,-0.000,161.209,198.303,-63.423,-144.920,-143.879,-130.907,96.603,99227.809,29.8,10,1.6301,2.1859,-1.5958,-0.0394,0.0562,19.611,1.2612,,,,,
307,325.000,35.000,220.769,-0.065,175.432,192.049,-79.331,-139.473,-144.982,-114.607,95.739,99226.423,29.8,10,1.6201,2.4679,-1.5187,-0.0692,0.0564,19.661,0.7139,,,,,
368,270.000,40.000,220.700,-0.003,-122.217,185.190,179.526,-132.267,-176.769,-189.098,96.177,99228.820,30.0,10,7.2029,1.3774,-1.8568,0.6773,0.0563,19.662,0.3935,,,,,
369,275.000,40.000,218.489,0.280,-97.276,197.338,153.749,-162.500,-175.451,-205.283,90.138,99230.281,30.0,10,4.2865,1.1343,-1.9420,0.6262,0.0560,19.551,0.9118,,,,,
370,280.000,40.000,220.471,0.072,-67.569,207.419,128.323,-180.797,-167.907,-215.498,87.876,99228.195,30.0,10,3.1033,1.0264,-1.9781,0.5345,0.0563,19.649,0.8011,,,,,
371,285.000,40.000,220.585,0.116,-34.109,213.361,97.487,-195.899,-163.650,-222.693,85.331,99231.242,30.0,10,2.4878,1.0463,-2.0106,0.4490,0.0563,19.652,0.3970,,,,,
372,290.000,40.000,219.374,0.020,-1.554,214.141,63.548,-205.832,-162.524,-226.747,80.107,99231.555,30.0,10,2.1205,1.1124,-2.0338,0.3741,0.0562,19.602,0.6071,,,,,
373,295.000,40.000,219.352,-0.120,35.039,214.386,25.344,-209.491,-162.105,-227.776,73.702,99232.586,30.0,10,1.8356,1.2003,-2.0373,0.2889,0.0562,19.608,0.9129,,,,,
374,300.000,40.000,219.759,0.183,66.851,215.239,-6.641,-205.939,-161.691,-222.604,67.973,99230.688,30.0,10,1.6587,1.3046,-2.0146,0.2168,0.0562,19.613,1.1175,,,,,
375,305.000,40.000,219.386,0.110,94.322,213.564,-36.618,-199.510,-165.537,-215.894,61.645,99229.937,30.1,10,1.5394,1.4414,-1.9851,0.1629,0.0562,19.599,1.2183,,,,,
376,310.000,40.000,214.091,0.026,114.013,205.781,-66.841,-194.984,-173.035,-208.702,53.585,99231.817,30.1,10,1.4637,1.6019,-1.9751,0.1380,0.0555,19.365,0.8566,,,,,
377,315.000,40.000,218.462,0.217,137.328,205.378,-85.235,-184.915,-174.000,-195.127,53.680,99230.189,30.1,10,1.4073,1.7610,-1.8951,0.0850,0.0560,19.554,0.8337,,,,,
378,320.000,40.000,220.870,0.095,158.548,200.425,-105.136,-174.206,-175.229,-176.176,52.727,99232.524,30.1,10,1.3639,1.9887,-1.7984,0.0382,0.0564,19.666,0.1439,,,,,
379,325.000,40.000,219.758,-0.293,172.454,191.967,-122.052,-168.329,-176.749,-159.490,51.056,99232.023,30.1,10,1.3381,2.2194,-1.7235,0.0084,0.0563,19.634,1.2626,,,,,
440,270.000,45.000,220.564,0.185,-169.054,183.643,175.967,-188.746,-210.920,-220.607,53.311,99229.438,30.2,10,8.9458,1.3673,-2.0019,0.8629,0.0563,19.655,0.3438,,,,,
441,275.000,45.000,219.834,0.203,-137.464,199.826,145.974,-221.894,-202.506,-234.030,48.463,99229.539,30.3,10,4.4109,1.0156,-2.0665,0.7749,0.0562,19.622,1.8928,,,,,
442,280.000,45.000,220.226,0.187,-101.251,210.228,111.785,-244.617,-194.614,-245.204,44.209,99229.406,30.3,10,2.9753,0.9598,-2.1152,0.6732,0.0563,19.640,1.1152,,,,,
443,285.000,45.000,220.397,0.107,-61.541,215.729,71.939,-256.005,-187.404,-260.110,41.084,99230.562,30.3,10,2.2206,0.9279,-2.1812,0.5655,0.0563,19.651,1.2175,,,,,
444,290.000,45.000,219.242,0.172,-17.580,216.604,26.325,-260.330,-183.706,-266.250,34.840,99228.969,30.3,10,1.8181,1.0031,-2.2162,0.4602,0.0561,19.597,0.3892,,,,,
445,295.000,45.000,218.763,0.554,19.077,216.938,-11.081,-253.849,-187.863,-265.542,27.002,99229.320,30.3,10,1.6149,1.1424,-2.2195,0.3893,0.0560,19.559,0.6750,,,,,
446,300.000,45.000,217.807,0.175,52.848,214.438,-47.948,-239.121,-191.661,-262.125,18.298,99228.016,30.3,10,1.4551,1.2687,-2.2052,0.3197,0.0560,19.533,0.7843,,,,,
447,305.000,45.000,220.660,0.118,84.690,215.001,-77.029,-226.763,-194.517,-255.951,13.675,99229.188,30.3,10,1.3412,1.3888,-2.1611,0.2495,0.0563,19.663,1.9371,,,,,
448,310.000,45.000,219.404,0.206,109.675,209.689,-107.379,-217.980,-198.989,-247.689,7.410,99229.703,30.3,10,1.2564,1.5203,-2.1309,0.2047,0.0562,19.603,1.0168,,,,,
449,315.000,45.000,219.197,0.276,132.137,204.262,-131.737,-210.066,-201.582,-235.853,4.227,99228.476,30.3,10,1.1937,1.6592,-2.0786,0.1599,0.0561,19.591,0.3624,,,,,
450,320.000,45.000,219.589,-0.037,152.174,196.955,-154.039,-202.633,-203.849,-220.055,0.994,99229.395,30.3,10,1.1382,1.8331,-2.0018,0.1175,0.0562,19.623,0.7957,,,,,
451,325.000,45.000,220.127,0.042,169.907,187.027,-173.792,-196.369,-206.322,-201.947,-1.031,99228.903,30.3,10,1.0935,2.0476,-1.9178,0.0829,0.0563,19.643,0.8820,,,,,
