滚转角φ ,俯仰角θ,马赫数Ma,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,α角度系数Kα,β角度系数Kβ,总压系数K0,静压系数Ks,大气压力,大气温度
150,30,0.242,4113.35,-35.283,-2131.283,-1163.25,2990.25,3359.933,-272.833,-2045.383,2124.45,0.617,1.631,-0.182,-0.336,98883,28
155,30,0.242,4111.8,-35.083,-2091.733,-1387.383,2732.017,3517.967,40.5,-1924.883,2151.1,0.641,1.263,-0.143,-0.343,98890,28
160,30,0.242,4114.7,-34.083,-1963.517,-1513.6,2450.5,3637.8,366.767,-1778.633,2191.483,0.649,0.935,-0.115,-0.348,98885,28
165,30,0.242,4116.117,-33.95,-1905.65,-1670.867,2144.483,3731.967,677.783,-1663.733,2211.2,0.655,0.632,-0.093,-0.348,98881,28
170,30,0.242,4113.867,-34.633,-1858.033,-1786.9,1825.65,3792.667,963.55,-1628.883,2226.167,0.653,0.359,-0.077,-0.345,98885.667,28
175,30,0.242,4112.1,-34.55,-1877.8,-1853.067,1490.583,3824.383,1272.45,-1589.65,2234.367,0.651,0.089,-0.069,-0.341,98886,28
180,30,0.242,4113.467,-33.783,-1913.467,-1933.883,1152.283,3832.85,1593.767,-1486.967,2245.75,0.645,-0.179,-0.068,-0.339,98887,28
185,30,0.242,4111.6,-35.917,-1914.683,-1986.9,796.25,3810.383,1911.133,-1383.983,2232.883,0.642,-0.454,-0.073,-0.335,98882.667,28
190,30,0.242,4114.1,-37.55,-1945.65,-1967.95,455.1,3755.017,2209.633,-1288.517,2221.05,0.633,-0.724,-0.086,-0.33,98893,28
195,30,0.242,4113.117,-36.8,-1975.25,-1927.217,132.517,3665.7,2497.25,-1116.117,2209.567,0.619,-1.006,-0.108,-0.326,98883,28
200,30,0.242,4110.133,-37.233,-2066.033,-1992.233,-217.533,3542.483,2766.817,-1018.2,2173.75,0.604,-1.316,-0.137,-0.316,98882.667,28
205,30,0.242,4116.617,-36.633,-2149.567,-2097.85,-543.567,3385.683,3010.833,-880.233,2143.1,0.577,-1.652,-0.176,-0.306,98888,28
210,30,0.242,4113.767,-26.667,-2147.817,-2177.4,-838.167,3192.3,3230.917,-677.15,2115.85,0.539,-2.039,-0.223,-0.295,98893,28
150,35,0.241,4067.033,-36.1,-2320.267,-1618.867,3074.5,3477.983,-732.9,-2329.45,1284.9,0.951,1.65,-0.144,-0.294,98880,28
155,35,0.24,4061.9,-29,-2134.8,-1798.6,2790.083,3651.633,-385.85,-2228.4,1341.317,0.943,1.297,-0.1,-0.301,98883,28
160,35,0.241,4063.75,-30.25,-1901.383,-1894.283,2486.783,3785.533,-10.933,-2092.217,1421.533,0.928,0.98,-0.068,-0.31,98885,28
165,35,0.241,4065.283,-31.183,-1861.633,-2076.367,2143.25,3882.767,348.217,-2008,1449.75,0.923,0.681,-0.045,-0.312,98885,28
170,35,0.241,4062.567,-32.35,-2045.017,-2314.017,1757.433,3945.283,663.05,-2116.833,1451.917,0.912,0.4,-0.029,-0.303,98884,28
175,35,0.241,4063.833,-32.75,-2100.533,-2411.95,1370.267,3975.483,1026.6,-2106.867,1464.6,0.904,0.124,-0.022,-0.301,98880,28
180,35,0.24,4056.883,-32.667,-2114.367,-2463.817,970.983,3983.083,1400.55,-2025.583,1470.583,0.898,-0.154,-0.018,-0.298,98892,28
185,35,0.24,4056.233,-34.217,-2091.267,-2453.95,558.217,3962.05,1769.6,-1919.117,1460.35,0.894,-0.433,-0.023,-0.293,98881,28
190,35,0.24,4061.833,-31.217,-2089.95,-2204.983,171.217,3909.55,2127.417,-1786.9,1453,0.89,-0.709,-0.037,-0.288,98880,28
195,35,0.24,4058.833,-29.317,-1958.233,-1768.133,-180.05,3819.583,2469.917,-1515.2,1456.933,0.883,-0.991,-0.059,-0.287,98883,28
200,35,0.24,4054.517,-26.533,-2207.85,-1866.483,-573.233,3692.1,2759.267,-1445.75,1394.533,0.884,-1.282,-0.089,-0.274,98880,28
205,35,0.24,4054.817,-21.317,-2394.483,-2024,-951.8,3523.917,3034.183,-1342.4,1344.25,0.878,-1.605,-0.13,-0.261,98892,28
210,35,0.241,4063.933,-10.267,-2499.017,-2159.567,-1282.967,3319.75,3285.217,-1164.433,1298.117,0.872,-1.97,-0.183,-0.248,98905,28
150,40,0.243,4133.883,-35.933,-2653.733,-2289.7,3087.717,3572.917,-1298.967,-2694.767,351.65,1.203,1.638,-0.135,-0.223,98870,28
155,40,0.243,4132.5,-31.85,-2468.6,-2445.583,2777.45,3774.717,-915,-2573.117,439.217,1.173,1.299,-0.086,-0.231,98870,28
160,40,0.243,4132.583,-33.717,-2232.483,-2503.417,2442.95,3928.633,-495.333,-2403.333,552.95,1.142,0.994,-0.049,-0.242,98870,28
165,40,0.242,4124.217,-33.633,-2017.933,-2543.883,2078.9,4034.717,-60.25,-2262.017,640.8,1.122,0.707,-0.022,-0.251,98871,28
170,40,0.243,4131.5,-33.083,-2422.6,-2911.55,1617.75,4099.5,303,-2600.167,632.717,1.104,0.419,-0.008,-0.239,98871,28
175,40,0.243,4134.383,-32.967,-2469.15,-2998.083,1183.167,4124.167,718.85,-2673.883,660.433,1.092,0.146,-0.002,-0.236,98869,28
180,40,0.243,4135.85,-30.517,-2466.15,-2991.117,722.583,4127.267,1158.95,-2623,672.017,1.084,-0.137,-0.002,-0.233,98879.833,28
185,40,0.243,4135.9,-21.9,-2449.25,-2813.933,257.983,4119.233,1592.883,-2513.533,664.267,1.082,-0.418,-0.004,-0.228,98880,28
190,40,0.243,4136.067,-15.517,-2411.167,-2228.233,-157.667,4077.983,2001.067,-2356.767,662.333,1.082,-0.684,-0.014,-0.226,98881,28
195,40,0.243,4145.333,-8.783,-2171.183,-2016.283,-573.733,3991.367,2405.15,-2035.35,657.65,1.084,-0.969,-0.037,-0.223,98897,28
200,40,0.243,4151.183,5.317,-2537.333,-2183.533,-1026.15,3864.933,2725.2,-2061.167,557.167,1.097,-1.244,-0.069,-0.204,98903,28
205,40,0.243,4151.7,9.217,-2753.617,-2373.583,-1460.717,3678,3026.05,-2021.4,460.367,1.111,-1.55,-0.114,-0.187,98907,28
210,40,0.243,4153.267,8.85,-2674.283,-2573.1,-1857.017,3443.067,3299.033,-1898.867,384.967,1.123,-1.894,-0.171,-0.172,98910,28
150,45,0.241,4084.583,-33.5,-2857.367,-2899.783,2839.383,3434.217,-1845.183,-2993.517,-670.733,1.398,1.595,-0.158,-0.129,98868,28
155,45,0.241,4090.217,-30.933,-2651.367,-2994.9,2531.25,3661.517,-1443.533,-2787.483,-542.4,1.348,1.275,-0.104,-0.139,98876,28
160,45,0.241,4087.733,-30.783,-2306.75,-2911.017,2201.533,3844.767,-972.6,-2475.083,-361.65,1.302,0.983,-0.059,-0.157,98877,28
165,45,0.241,4079.367,-31.617,-2125.65,-2920.733,1824.8,3974.733,-500.767,-2304.767,-227.9,1.269,0.702,-0.025,-0.169,98870,28
170,45,0.241,4084.283,-29.9,-2615.367,-3338.633,1337.117,4051,-135.767,-2758.867,-259.017,1.249,0.427,-0.008,-0.153,98870,28
175,45,0.241,4082.95,-28.25,-2736.467,-3408.45,859.983,4077.833,318.767,-2994.617,-224.833,1.233,0.155,-0.001,-0.15,98873.833,28
180,45,0.241,4090.633,-16.75,-2756,-3327.233,371.083,4087.45,804.283,-3024.9,-194.133,1.223,-0.124,-0.001,-0.147,98885,28
185,45,0.241,4096.267,-0.117,-2722.05,-2910,-117.667,4082.333,1274.95,-2944.633,-198.183,1.222,-0.397,-0.003,-0.141,98896,28
190,45,0.242,4109.883,10.4,-2356.267,-2305.383,-534.367,4043.55,1749.333,-2657.1,-157.65,1.223,-0.665,-0.016,-0.146,98920,28
195,45,0.242,4105.433,10.633,-2157.833,-2218.767,-986.817,3940.067,2153.45,-2375.55,-188.25,1.23,-0.936,-0.04,-0.14,98916,28
200,45,0.242,4107.55,10.467,-2551.75,-2514,-1524.05,3781.617,2465.5,-2533.917,-362.167,1.252,-1.205,-0.08,-0.112,98920,28
205,45,0.242,4103.517,10.4,-2706.95,-2724.283,-2002.667,3563.817,2761.567,-2585.7,-499.917,1.276,-1.496,-0.132,-0.09,98916,28
210,45,0.242,4100.7,8.633,-2819.333,-2888.567,-2394.517,3310.483,3030.783,-2531.65,-614.033,1.312,-1.813,-0.193,-0.076,98913,28
