点位编号,侧滑角α,迎角β,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,大气压力,大气温度,采样次数,Kα,Kβ,K0,Ks,马赫数,速度,标准差,U(Kα),U(Kβ),U(K0),U(Ks),边界标记
1,-30.000,-30.000,192.332,0.148,-128.569,-92.395,-95.216,119.643,182.193,-46.537,43.216,99527.062,29.9,10,3.4975,-4.5121,-0.7759,0.0536,0.0525,18.320,1.3293,,,,,
2,-25.000,-30.000,193.455,0.253,-113.933,-87.633,-93.982,141.524,180.768,-48.210,63.686,99526.547,29.9,10,2.6967,-3.6352,-0.6717,0.0198,0.0526,18.368,0.4586,,,,,
3,-20.000,-30.000,188.769,0.125,-94.726,-80.235,-67.779,155.689,169.174,-50.743,82.463,99527.720,30.0,10,1.9918,-3.1644,-0.5635,-0.0271,0.0520,18.151,0.9450,,,,,
4,-15.000,-30.000,192.373,0.222,-70.470,-66.289,-28.692,170.772,159.256,-47.212,103.859,99527.042,30.0,10,1.4179,-2.8729,-0.4606,-0.1006,0.0525,18.319,0.6522,,,,,
5,-10.000,-30.000,190.418,0.216,-55.637,-58.171,5.192,174.178,140.428,-46.521,115.941,99526.181,30.0,10,0.9490,-2.6482,-0.3916,-0.1386,0.0522,18.226,0.6387,,,,,
6,-5.000,-30.000,193.238,0.111,-49.419,-55.065,36.740,179.567,120.948,-52.938,126.063,99523.438,30.0,10,0.5187,-2.5103,-0.3478,-0.1546,0.0526,18.366,0.3465,,,,,
7,0.000,-30.000,190.363,0.122,-52.038,-55.594,61.748,177.446,92.889,-61.686,128.689,99523.422,30.0,10,0.1424,-2.3988,-0.3242,-0.1420,0.0522,18.228,0.5962,,,,,
8,5.000,-30.000,190.813,0.134,-54.329,-51.650,87.503,176.188,63.862,-66.719,129.516,99525.820,30.0,10,-0.2155,-2.3488,-0.3215,-0.1347,0.0523,18.249,1.4366,,,,,
9,10.000,-30.000,191.820,0.177,-56.749,-43.900,115.537,177.290,33.173,-71.919,128.683,99524.922,30.0,10,-0.6181,-2.3684,-0.3295,-0.1325,0.0524,18.296,0.9309,,,,,
10,15.000,-30.000,194.164,0.300,-62.741,-34.352,138.977,175.258,3.468,-74.837,124.994,99525.820,30.0,10,-1.0091,-2.4086,-0.3568,-0.1238,0.0527,18.401,0.8016,,,,,
11,20.000,-30.000,192.080,0.104,-85.154,-35.441,153.260,164.907,-36.806,-90.798,112.746,99523.863,30.0,10,-1.4017,-2.4495,-0.4132,-0.0602,0.0525,18.312,1.2701,,,,,
12,25.000,-30.000,190.548,0.253,-108.393,-35.591,165.381,151.306,-77.448,-104.737,97.530,99526.539,30.0,10,-1.8174,-2.5146,-0.4888,0.0096,0.0522,18.232,0.6268,,,,,
13,30.000,-30.000,191.657,0.229,-128.779,-29.689,177.976,134.190,-116.671,-115.676,81.617,99526.860,30.0,10,-2.3200,-2.5780,-0.5748,0.0697,0.0524,18.286,0.5157,,,,,
14,-30.000,-25.000,190.778,0.156,-117.031,-85.504,-74.892,102.011,181.173,-4.105,64.317,99526.703,30.0,10,3.0423,-3.2998,-0.6634,-0.0006,0.0523,18.248,0.7324,,,,,
15,-25.000,-25.000,190.588,0.289,-94.583,-74.510,-81.578,121.902,181.472,-3.407,87.299,99527.844,30.0,10,2.4395,-2.5744,-0.5428,-0.0417,0.0522,18.232,0.5848,,,,,
16,-20.000,-25.000,191.219,0.111,-68.732,-58.441,-51.038,141.258,174.229,-3.891,110.564,99527.924,30.0,10,1.8289,-2.2849,-0.4220,-0.1157,0.0524,18.271,0.2753,,,,,
17,-15.000,-25.000,191.023,0.149,-48.148,-46.316,-17.912,155.288,162.579,-6.921,127.524,99525.645,30.0,10,1.3444,-2.1349,-0.3327,-0.1726,0.0523,18.260,0.2334,,,,,
18,-10.000,-25.000,191.914,0.155,-33.306,-34.480,15.412,163.237,146.229,-10.007,140.488,99526.375,30.1,10,0.9028,-2.0113,-0.2682,-0.2139,0.0524,18.303,0.8079,,,,,
19,-5.000,-25.000,191.830,0.128,-27.269,-26.617,45.310,166.412,126.073,-15.100,148.380,99526.073,30.1,10,0.5144,-1.9324,-0.2267,-0.2330,0.0524,18.300,0.5269,,,,,
20,0.000,-25.000,190.997,0.205,-28.868,-22.280,72.541,167.221,101.600,-24.630,152.124,99527.219,30.1,10,0.1430,-1.8951,-0.2037,-0.2309,0.0523,18.257,1.3954,,,,,
21,5.000,-25.000,192.291,0.296,-30.673,-15.899,97.979,166.127,73.782,-31.303,153.325,99527.930,30.1,10,-0.2079,-1.8564,-0.2030,-0.2242,0.0525,18.315,0.4790,,,,,
22,10.000,-25.000,194.085,0.185,-32.205,-4.518,125.474,167.639,44.776,-37.590,153.336,99524.945,30.1,10,-0.6004,-1.8647,-0.2102,-0.2256,0.0527,18.406,0.4693,,,,,
23,15.000,-25.000,189.005,0.297,-49.346,-3.986,140.566,159.920,8.165,-54.536,142.879,99523.156,30.1,10,-0.9654,-1.9065,-0.2444,-0.1758,0.0520,18.158,0.4987,,,,,
24,20.000,-25.000,190.918,0.189,-67.485,1.185,157.761,151.399,-27.294,-68.369,134.576,99525.388,30.1,10,-1.3358,-1.9247,-0.2954,-0.1276,0.0523,18.255,0.9798,,,,,
25,25.000,-25.000,189.360,0.123,-93.711,3.578,170.359,134.559,-68.947,-86.555,119.575,99523.566,30.1,10,-1.7339,-1.9476,-0.3688,-0.0516,0.0521,18.184,0.2983,,,,,
26,30.000,-25.000,191.011,0.275,-121.122,6.190,180.771,115.181,-110.066,-102.849,102.087,99523.051,30.1,10,-2.1496,-1.9862,-0.4662,0.0293,0.0523,18.256,0.8328,,,,,
27,-30.000,-20.000,187.527,0.186,-101.834,-78.924,-66.433,75.133,177.625,37.920,82.224,99523.727,30.1,10,2.7791,-2.2502,-0.5621,-0.0377,0.0518,18.093,0.7455,,,,,
28,-25.000,-20.000,189.881,0.360,-75.614,-64.658,-69.934,99.264,179.481,37.088,106.428,99524.250,30.1,10,2.2825,-1.8271,-0.4403,-0.0910,0.0521,18.198,0.7494,,,,,
29,-20.000,-20.000,190.838,0.350,-48.057,-47.063,-40.872,122.174,172.647,33.929,129.322,99525.398,30.1,10,1.7494,-1.6646,-0.3229,-0.1668,0.0523,18.245,0.8595,,,,,
30,-15.000,-20.000,189.798,0.174,-26.651,-31.906,-9.127,137.051,161.682,28.423,144.841,99524.052,30.1,10,1.3135,-1.5862,-0.2371,-0.2271,0.0522,18.203,0.4187,,,,,
31,-10.000,-20.000,191.653,0.286,-11.706,-16.780,22.325,147.289,147.406,23.251,157.886,99522.267,30.1,10,0.9000,-1.5145,-0.1765,-0.2700,0.0524,18.287,0.2424,,,,,
32,-5.000,-20.000,190.828,0.220,-6.954,-4.747,51.664,151.381,127.529,15.671,164.878,99521.359,30.2,10,0.5094,-1.4813,-0.1361,-0.2914,0.0523,18.251,1.3493,,,,,
33,0.000,-20.000,190.485,0.171,-7.989,4.607,77.290,152.048,104.728,8.377,168.585,99523.004,30.2,10,0.1608,-1.4547,-0.1151,-0.2960,0.0522,18.237,0.6606,,,,,
34,5.000,-20.000,188.965,0.246,-14.283,9.047,99.182,149.295,74.882,-5.026,166.097,99525.208,30.2,10,-0.1945,-1.4549,-0.1212,-0.2752,0.0520,18.161,0.3238,,,,,
35,10.000,-20.000,192.692,0.230,-15.673,21.422,125.434,152.385,48.884,-14.049,166.974,99523.500,30.2,10,-0.5678,-1.4721,-0.1336,-0.2745,0.0525,18.340,0.3049,,,,,
36,15.000,-20.000,192.806,0.656,-27.206,30.524,144.217,146.078,17.143,-28.219,161.925,99523.180,30.2,10,-0.9342,-1.4677,-0.1607,-0.2417,0.0525,18.325,0.1501,,,,,
37,20.000,-20.000,190.172,0.263,-49.920,34.477,158.950,133.090,-20.648,-50.695,150.378,99522.242,30.2,10,-1.3159,-1.4936,-0.2095,-0.1787,0.0522,18.219,1.5131,,,,,
38,25.000,-20.000,192.624,0.209,-74.877,40.862,171.610,115.534,-58.813,-68.787,138.872,99521.664,30.2,10,-1.6646,-1.4739,-0.2794,-0.1076,0.0525,18.339,0.9578,,,,,
39,30.000,-20.000,194.002,0.284,-103.093,47.082,183.198,92.578,-98.549,-87.495,122.669,99522.641,30.2,10,-2.0535,-1.4706,-0.3682,-0.0275,0.0527,18.401,0.6399,,,,,
40,-30.000,-15.000,194.660,0.330,-77.436,-64.683,-47.600,54.986,179.690,80.881,102.543,99518.661,30.2,10,2.6391,-1.5559,-0.4740,-0.1062,0.0528,18.430,0.1975,,,,,
41,-25.000,-15.000,192.554,0.364,-52.099,-51.247,-52.984,77.985,177.002,76.151,123.816,99519.713,30.2,10,2.1793,-1.2649,-0.3577,-0.1497,0.0525,18.329,0.4028,,,,,
42,-20.000,-15.000,190.259,0.269,-26.468,-34.574,-28.565,99.497,167.546,69.199,143.577,99517.916,30.2,10,1.6896,-1.1590,-0.2457,-0.2149,0.0522,18.224,0.7813,,,,,
43,-15.000,-15.000,191.156,0.194,-4.438,-17.379,0.595,117.672,157.981,61.895,159.816,99520.656,30.2,10,1.2758,-1.1151,-0.1641,-0.2751,0.0523,18.271,1.0417,,,,,P7-P5
44,-10.000,-15.000,188.882,0.302,7.875,-2.721,27.991,127.363,142.440,51.429,169.112,99520.289,30.2,10,0.8845,-1.0925,-0.1048,-0.3116,0.0520,18.157,0.3550,,,,,
45,-5.000,-15.000,190.665,0.307,11.623,11.954,55.586,135.178,126.664,41.685,176.816,99519.258,30.2,10,0.5149,-1.1080,-0.0728,-0.3334,0.0523,18.242,0.7973,,,,,
46,0.000,-15.000,188.486,0.259,10.258,24.472,79.440,134.377,103.192,32.975,178.741,99518.742,30.2,10,0.1625,-1.0859,-0.0518,-0.3393,0.0520,18.140,0.9433,,,,,
